loss,t,weight_mean,target_norm,pred_norm,mask_latent_ratio,boundary_latent_ratio,affected_outside_latent_ratio,near_outside_latent_ratio,grad_norm,grad_max_abs,grad_tensors,worker,recipe,recipe_family,step,lr,scope,sample_id,finite,mask_weight,boundary_weight,affected_weight,outside_weight,far_outside_weight,hard_noise_schedule
1.0310389995574951,0.19,0.34306666254997253,800.0230102539062,850.2124633789062,0.12045898288488388,0.07973632961511612,0.25458985567092896,0.04160156473517418,18.541429902108067,1.9453125,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,1,3e-05,S0,BLENDER_BEACH030_00003,True,0.75,1.5,0.75,0.2,0.03,False
0.16563880443572998,0.29,0.08833415806293488,863.6253051757812,821.1318359375,0.03896484524011612,0.03666992112994194,0.0042480467818677425,0.01933593861758709,1.845242065282502,0.111328125,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,2,3e-05,S0,BLENDER_BEACH036_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.07766660302877426,0.39,0.15170840919017792,718.5333862304688,664.4046020507812,0.09995117038488388,0.06069336086511612,0.01860351674258709,0.03188476711511612,0.6821856262092411,0.06201171875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,3,3e-05,S0,BLENDER_BEDROOM009_00083,True,0.75,1.5,0.75,0.2,0.03,False
0.2794579863548279,0.49,0.14158645272254944,806.4203491210938,775.7484130859375,0.041259765625,0.04018554836511612,0.07646484673023224,0.02143554762005806,3.4586098009650033,0.2216796875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,4,3e-05,S0,BLENDER_CARTOON002_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.09095722436904907,0.59,0.14001858234405518,680.5733032226562,644.4950561523438,0.03110351599752903,0.080322265625,0.04638671875,0.05117187649011612,0.868898396654039,0.0419921875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,5,3e-05,S0,BLENDER_DESERT004_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.19640156626701355,0.19,0.03870681673288345,870.5834350585938,806.9179077148438,0.0023925781715661287,0.006884765811264515,0.0009765625,0.0044921874068677425,2.4442247128325825,0.1611328125,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,6,3e-05,S0,BLENDER_DESERT005_00006,True,0.75,1.5,0.75,0.2,0.03,False
0.1920841932296753,0.29,0.11328943073749542,699.4227294921875,634.1036987304688,0.0146484375,0.01958007924258709,0.08598633110523224,0.010986328125,1.2339300428288298,0.059814453125,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,7,3e-05,S0,BLENDER_FOREST006_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.17293815314769745,0.39,0.35167810320854187,681.5193481445312,653.1815185546875,0.2916503846645355,0.07998047024011612,0.093017578125,0.04038086161017418,0.6950076097788206,0.115234375,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,8,3e-05,S0,BLENDER_FOREST007_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.0948076918721199,0.49,0.24066586792469025,726.6250610351562,698.2172241210938,0.05375976487994194,0.03696289286017418,0.209228515625,0.01953125,0.8855449170810814,0.044677734375,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,9,3e-05,S0,BLENDER_FOREST008_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.08222556859254837,0.59,0.06560196727514267,765.300048828125,750.2699584960938,0.01699218712747097,0.02280273474752903,0.009423828683793545,0.012744140811264515,0.7158472602898037,0.04591597616672516,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,10,3e-05,S0,BLENDER_FOREST009_00013,True,0.75,1.5,0.75,0.2,0.03,False
0.2504281997680664,0.19,0.5115446448326111,738.1221313476562,701.4353637695312,0.154296875,0.07968749850988388,0.47099611163139343,0.04096679762005806,1.5188000940158506,0.08785790205001831,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,11,3e-05,S0,BLENDER_FOREST010_00004,True,0.75,1.5,0.75,0.2,0.03,False
0.13443498313426971,0.29,0.1692027598619461,725.0988159179688,703.175537109375,0.08872070163488388,0.085693359375,0.02045898512005806,0.04550781473517418,0.876749456109799,0.05908203125,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,12,3e-05,S0,BLENDER_FOREST013_00008,True,0.75,1.5,0.75,0.2,0.03,False
0.11742009222507477,0.39,0.11786724627017975,704.9984130859375,683.6259765625,0.05649414286017418,0.04404297098517418,0.02802734449505806,0.02294921875,0.6476535418082793,0.08544921875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,13,3e-05,S0,BLENDER_FOREST015_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.1540883481502533,0.49,0.17938649654388428,702.0516357421875,686.9475708007812,0.06357421725988388,0.03061523474752903,0.116455078125,0.015869140625,1.1581811850286974,0.07763671875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,14,3e-05,S0,BLENDER_FOREST016_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.05428590252995491,0.59,0.08295797556638718,666.33984375,633.4404296875,0.00815429724752903,0.009765625,0.05644531175494194,0.00537109375,0.7256168273135295,0.08154296875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,15,3e-05,S0,BLENDER_FOREST017_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.18431153893470764,0.19,0.05919048935174942,655.6986083984375,574.66162109375,0.0205078125,0.0166015625,0.0030761719681322575,0.0087890625,1.4263340671559606,0.13671875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,16,3e-05,S0,BLENDER_FOREST018_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.1137307807803154,0.29,0.14430031180381775,669.7320556640625,625.4703979492188,0.014892578125,0.016357421875,0.13276366889476776,0.0087890625,1.0222256677941397,0.10693359375,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,17,3e-05,S0,BLENDER_FOREST019_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.10185021162033081,0.39,0.1673293262720108,702.2549438476562,672.8948974609375,0.06708984822034836,0.08544921875,0.03818359598517418,0.04633789137005806,0.5818053082142849,0.087890625,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,18,3e-05,S0,BLENDER_FOREST021_00002,True,0.75,1.5,0.75,0.2,0.03,False
0.09031509608030319,0.49,0.06622745841741562,695.23583984375,669.5239868164062,0.013085938058793545,0.02353515662252903,0.01206054724752903,0.013671875,0.783796353335679,0.0625,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,19,3e-05,S0,BLENDER_FOREST022_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.06459919363260269,0.59,0.18893980979919434,743.3309936523438,735.1298217773438,0.08554687350988388,0.116943359375,0.011279297061264515,0.06357421725988388,0.3793076184439394,0.01544189453125,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,20,3e-05,S0,BLENDER_FOREST023_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.20660412311553955,0.19,0.21698375046253204,741.45556640625,691.7655639648438,0.1826171875,0.07148437947034836,0.0031250000465661287,0.03632812574505806,0.8286153705549599,0.11083984375,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,21,3e-05,S0,BLENDER_FOREST024_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.1532697081565857,0.29,0.14101696014404297,765.929931640625,749.055419921875,0.03076171875,0.0625,0.06425781548023224,0.03173828125,1.203400988848218,0.0966796875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,22,3e-05,S0,BLENDER_FOREST025_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.07277888804674149,0.39,0.059028055518865585,692.7142333984375,680.4539794921875,0.00815429724752903,0.02163085900247097,0.0064453124068677425,0.013916015625,0.8021312226162159,0.083984375,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,23,3e-05,S0,BLENDER_FOREST026_00020,True,0.75,1.5,0.75,0.2,0.03,False
0.05044626072049141,0.49,0.07515567541122437,725.537841796875,720.5689086914062,0.00927734375,0.03461914137005806,0.0030761719681322575,0.02534179762005806,0.6624338839512973,0.0291748046875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,24,3e-05,S0,BLENDER_FOREST028_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.08920858055353165,0.59,0.09705115854740143,744.7338256835938,743.0098266601562,0.036376953125,0.04135742411017418,0.01787109486758709,0.02163085900247097,0.6013805305336849,0.0262451171875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,25,3e-05,S0,BLENDER_FOREST029_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.1801232248544693,0.19,0.43636542558670044,782.7974853515625,749.6546020507812,0.34038087725639343,0.13911132514476776,0.10986328125,0.06728515774011612,1.1161948955593874,0.046630859375,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,26,3e-05,S0,BLENDER_FOREST030_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.16875198483467102,0.29,0.12983465194702148,689.1769409179688,678.8845825195312,0.04399413987994194,0.04990234598517418,0.04951171949505806,0.02695312537252903,1.1948852000133061,0.08154296875,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,27,3e-05,S0,BLENDER_FOREST034_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.05276760831475258,0.39,0.0501411072909832,669.0390014648438,653.7150268554688,0.0038574219215661287,0.01450195349752903,0.0044921874068677425,0.010644531808793545,0.5503964968308619,0.038818359375,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,28,3e-05,S0,BLENDER_FOREST049_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.03733894228935242,0.49,0.03894996643066406,768.75146484375,760.3097534179688,0.001708984375,0.006103515625,0.002197265625,0.00439453125,0.6479623341259878,0.039646685123443604,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,29,3e-05,S0,BLENDER_GRASS001_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.044335946440696716,0.59,0.22411690652370453,743.68896484375,746.3995971679688,0.11728515475988388,0.049072265625,0.11044921725988388,0.02568359486758709,0.4050853473561507,0.0201416015625,461,gpu1_cd,SFTmC_S0_lr3em05,SFT-C,30,3e-05,S0,BLENDER_GRASS002_00001,True,0.75,1.5,0.75,0.2,0.03,False
1.0310389995574951,0.19,0.34306666254997253,800.0230102539062,850.2124633789062,0.12045898288488388,0.07973632961511612,0.25458985567092896,0.04160156473517418,18.54472418804112,1.9453125,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,1,0.0001,S0,BLENDER_BEACH030_00003,True,0.75,1.5,0.75,0.2,0.03,False
0.21485570073127747,0.29,0.08833415806293488,863.6253051757812,764.1697998046875,0.03896484524011612,0.03666992112994194,0.0042480467818677425,0.01933593861758709,2.254536092332088,0.2314453125,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,2,0.0001,S0,BLENDER_BEACH036_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.378494530916214,0.39,0.15170840919017792,718.5333862304688,627.420654296875,0.09995117038488388,0.06069336086511612,0.01860351674258709,0.03188476711511612,8.554922819860584,0.77734375,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,3,0.0001,S0,BLENDER_BEDROOM009_00083,True,0.75,1.5,0.75,0.2,0.03,False
0.23023076355457306,0.49,0.14158645272254944,806.4203491210938,778.230224609375,0.041259765625,0.04018554836511612,0.07646484673023224,0.02143554762005806,1.5719576958993988,0.16634291410446167,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,4,0.0001,S0,BLENDER_CARTOON002_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.12292546033859253,0.59,0.14001858234405518,680.5733032226562,628.4133911132812,0.03110351599752903,0.080322265625,0.04638671875,0.05117187649011612,1.6767157979371745,0.1513671875,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,5,0.0001,S0,BLENDER_DESERT004_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.41584619879722595,0.19,0.03870681673288345,870.5834350585938,734.973876953125,0.0023925781715661287,0.006884765811264515,0.0009765625,0.0044921874068677425,3.0695444219618357,0.30078125,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,6,0.0001,S0,BLENDER_DESERT005_00006,True,0.75,1.5,0.75,0.2,0.03,False
0.2218601405620575,0.29,0.11328943073749542,699.4227294921875,674.545654296875,0.0146484375,0.01958007924258709,0.08598633110523224,0.010986328125,1.1095785983535562,0.07177734375,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,7,0.0001,S0,BLENDER_FOREST006_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.22386516630649567,0.39,0.35167810320854187,681.5193481445312,618.1028442382812,0.2916503846645355,0.07998047024011612,0.093017578125,0.04038086161017418,1.24745353049115,0.10986328125,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,8,0.0001,S0,BLENDER_FOREST007_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.16667641699314117,0.49,0.24066586792469025,726.6250610351562,665.4302368164062,0.05375976487994194,0.03696289286017418,0.209228515625,0.01953125,1.0374325055255247,0.1337890625,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,9,0.0001,S0,BLENDER_FOREST008_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.1388501524925232,0.59,0.06560196727514267,765.300048828125,804.3684692382812,0.01699218712747097,0.02280273474752903,0.009423828683793545,0.012744140811264515,2.912126410795443,0.2009730041027069,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,10,0.0001,S0,BLENDER_FOREST009_00013,True,0.75,1.5,0.75,0.2,0.03,False
0.37970858812332153,0.19,0.5115446448326111,738.1221313476562,690.5340576171875,0.154296875,0.07968749850988388,0.47099611163139343,0.04096679762005806,1.9460348497307358,0.1318359375,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,11,0.0001,S0,BLENDER_FOREST010_00004,True,0.75,1.5,0.75,0.2,0.03,False
0.2089540660381317,0.29,0.1692027598619461,725.0988159179688,650.6080322265625,0.08872070163488388,0.085693359375,0.02045898512005806,0.04550781473517418,1.1904650349491945,0.1416015625,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,12,0.0001,S0,BLENDER_FOREST013_00008,True,0.75,1.5,0.75,0.2,0.03,False
0.18515555560588837,0.39,0.11786724627017975,704.9984130859375,644.3672485351562,0.05649414286017418,0.04404297098517418,0.02802734449505806,0.02294921875,1.0059914869175481,0.107421875,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,13,0.0001,S0,BLENDER_FOREST015_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.15581142902374268,0.49,0.17938649654388428,702.0516357421875,690.5785522460938,0.06357421725988388,0.03061523474752903,0.116455078125,0.015869140625,0.7962263374200883,0.08544921875,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,14,0.0001,S0,BLENDER_FOREST016_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.12066709995269775,0.59,0.08295797556638718,666.33984375,638.1663208007812,0.00815429724752903,0.009765625,0.05644531175494194,0.00537109375,0.8173978156075165,0.051054492592811584,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,15,0.0001,S0,BLENDER_FOREST017_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.28759098052978516,0.19,0.05919048935174942,655.6986083984375,552.6788330078125,0.0205078125,0.0166015625,0.0030761719681322575,0.0087890625,1.4680630767248253,0.189453125,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,16,0.0001,S0,BLENDER_FOREST018_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.20083440840244293,0.29,0.14430031180381775,669.7320556640625,650.1214599609375,0.014892578125,0.016357421875,0.13276366889476776,0.0087890625,1.2947007204449799,0.1357421875,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,17,0.0001,S0,BLENDER_FOREST019_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.14724402129650116,0.39,0.1673293262720108,702.2549438476562,678.4813232421875,0.06708984822034836,0.08544921875,0.03818359598517418,0.04633789137005806,0.6168019536162618,0.0788605660200119,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,18,0.0001,S0,BLENDER_FOREST021_00002,True,0.75,1.5,0.75,0.2,0.03,False
0.18961083889007568,0.49,0.06622745841741562,695.23583984375,662.2906494140625,0.013085938058793545,0.02353515662252903,0.01206054724752903,0.013671875,0.8591358536420585,0.06696346402168274,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,19,0.0001,S0,BLENDER_FOREST022_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.09730212390422821,0.59,0.18893980979919434,743.3309936523438,721.0052490234375,0.08554687350988388,0.116943359375,0.011279297061264515,0.06357421725988388,0.7268229549689595,0.1162109375,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,20,0.0001,S0,BLENDER_FOREST023_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.3438558280467987,0.19,0.21698375046253204,741.45556640625,640.555908203125,0.1826171875,0.07148437947034836,0.0031250000465661287,0.03632812574505806,1.7509283851824793,0.1884765625,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,21,0.0001,S0,BLENDER_FOREST024_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.18582256138324738,0.29,0.14101696014404297,765.929931640625,744.1228637695312,0.03076171875,0.0625,0.06425781548023224,0.03173828125,0.9506889955593253,0.07763671875,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,22,0.0001,S0,BLENDER_FOREST025_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.16308195888996124,0.39,0.059028055518865585,692.7142333984375,634.457275390625,0.00815429724752903,0.02163085900247097,0.0064453124068677425,0.013916015625,1.1674556130541345,0.10791015625,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,23,0.0001,S0,BLENDER_FOREST026_00020,True,0.75,1.5,0.75,0.2,0.03,False
0.10861040651798248,0.49,0.07515567541122437,725.537841796875,683.9890747070312,0.00927734375,0.03461914137005806,0.0030761719681322575,0.02534179762005806,1.0261480860232448,0.076171875,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,24,0.0001,S0,BLENDER_FOREST028_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.1455725133419037,0.59,0.09705115854740143,744.7338256835938,712.0291748046875,0.036376953125,0.04135742411017418,0.01787109486758709,0.02163085900247097,0.9849419065056269,0.04828111082315445,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,25,0.0001,S0,BLENDER_FOREST029_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.2679007947444916,0.19,0.43636542558670044,782.7974853515625,777.5296630859375,0.34038087725639343,0.13911132514476776,0.10986328125,0.06728515774011612,2.714909246423645,0.3515625,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,26,0.0001,S0,BLENDER_FOREST030_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.2148345708847046,0.29,0.12983465194702148,689.1769409179688,688.5848999023438,0.04399413987994194,0.04990234598517418,0.04951171949505806,0.02695312537252903,1.1394355621001413,0.1689453125,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,27,0.0001,S0,BLENDER_FOREST034_00001,True,0.75,1.5,0.75,0.2,0.03,False
0.14152726531028748,0.39,0.0501411072909832,669.0390014648438,655.6831665039062,0.0038574219215661287,0.01450195349752903,0.0044921874068677425,0.010644531808793545,0.6633829809359206,0.07080078125,461,gpu1_cd,SFTmC_S0_lr0.0001,SFT-C,28,0.0001,S0,BLENDER_FOREST049_00001,True,0.75,1.5,0.75,0.2,0.03,False
